,filename,age,full_utterance,preceding_item,preceding_item_type,succeeding_item,succeeding_item_type
0,Erbaugh/Kang/01.xml,34,"[('啊', 'sfp'), ('爸爸', 'n:relat'), ('都', 'adv'), ('是', 'v:cop'), ('这', 'pro:dem'), ('样子', 'n'), ('做', 'v'), ('的', 'cleft')]",做,v,NA,NA
1,Erbaugh/Kang/01.xml,34,"[('推土机', 'n'), ('的', 'cleft')]",推土机,n,NA,NA
2,Erbaugh/Kang/01.xml,34,"[('谁', 'pro:wh'), ('住', 'v:resc'), ('的', 'poss'), ('地方', 'n')]",住,v:resc,地方,n
3,Erbaugh/Kang/01.xml,34,"[('好', 'adj'), ('的', 'nom'), ('摔', 'v'), ('掉', 'v:resc')]",好,adj,摔,v
4,Erbaugh/Kang/01.xml,34,"[('做', 'v'), ('大', 'adj'), ('的', 'nom')]",大,adj,NA,NA
5,Erbaugh/Kang/01.xml,34,"[('这', 'pro:dem'), ('可不', 'adv'), ('是', 'v:cop'), ('咬', 'v'), ('的', 'cleft')]",咬,v,NA,NA
6,Erbaugh/Kang/01.xml,34,"[('这', 'pro:dem'), ('是', 'v:cop'), ('这', 'pro:dem'), ('谁', 'pro:wh'), ('住', 'v:resc'), ('的', 'poss'), ('地方', 'n')]",住,v:resc,地方,n
7,Erbaugh/Kang/01.xml,34,"[('这', 'pro:dem'), ('谁', 'pro:wh'), ('住', 'v:resc'), ('的', 'poss'), ('地方', 'n')]",住,v:resc,地方,n
8,Erbaugh/Kang/01.xml,34,"[('这', 'pro:dem'), ('是', 'v:cop'), ('唱', 'v'), ('戏', 'n'), ('的', 'poss'), ('地方', 'n')]",戏,n,地方,n
9,Erbaugh/Kang/01.xml,34,"[('有', 'v'), ('颜色', 'n'), ('的', 'poss')]",颜色,n,NA,NA
10,Erbaugh/Kang/01.xml,34,"[('我', 'pro:per'), ('要', 'v:aux'), ('变', 'v'), ('高', 'n:prop'), ('的', 'poss')]",高,n:prop,NA,NA
11,Erbaugh/Kang/01.xml,34,"[('我', 'pro:per'), ('要', 'v'), ('高', 'n:prop'), ('的', 'poss')]",高,n:prop,NA,NA
12,Erbaugh/Kang/01.xml,34,"[('高', 'n:prop'), ('的', 'poss')]",高,n:prop,NA,NA
13,Erbaugh/Kang/01.xml,34,"[('我', 'pro:per'), ('要', 'v'), ('脚', 'n'), ('的', 'poss')]",脚,n,NA,NA
14,Erbaugh/Kang/01.xml,34,"[('我', ''), ('要', ''), ('脚', ''), ('的', ''), ('我', 'pro:per'), ('要', 'v'), ('脚', 'n'), ('的', 'poss'), ('嘛', 'sfp')]",脚,,我,pro:per
15,Erbaugh/Kang/01.xml,34,"[('我', ''), ('要', ''), ('脚', ''), ('的', ''), ('我', 'pro:per'), ('要', 'v'), ('脚', 'n'), ('的', 'poss'), ('嘛', 'sfp')]",脚,n,嘛,sfp
16,Erbaugh/Kang/01.xml,34,"[('我', 'pro:per'), ('要', 'v'), ('高', 'n:prop'), ('的', 'poss'), ('嘛', 'sfp')]",高,n:prop,嘛,sfp
17,Erbaugh/Kang/01.xml,34,"[('我', 'pro:per'), ('要', 'v'), ('高', 'n:prop'), ('的', 'poss')]",高,n:prop,NA,NA
18,Erbaugh/Kang/01.xml,34,"[('这个', 'co'), ('就是', 'co:int'), ('前', 'n'), ('的', 'poss')]",前,n,NA,NA
19,Erbaugh/Kang/01.xml,34,"[('一', 'num'), ('个', ''), ('一', 'num'), ('个', 'cl'), ('开', 'v:resc'), ('公交', 'n'), ('车', 'n'), ('的', 'poss'), ('人', 'n'), ('来', 'v:dirc')]",车,n,人,n
